,EOD_Code,EOD_Exchange,EOD_Name,EOD_Type,EOD_Country,EOD_Currency,EOD_ISIN,EOD_previousClose,EOD_previousCloseDate,Origin_Stock,Origin_Name,Origin_Country,list_isin_2,country_by_isin
1230,BANARISUG,BSE,BANNARI AMMAN SUGARS LTD.,Common Stock,India,INR,INE459A01010,2434.6001,2022-08-03,BANARISUG,BANNARI AMMAN SUGARS LTD,India,IN,India
1231,3011,TSE,Banners Co Ltd,Common Stock,Japan,JPY,JP3864600006,117,2022-08-04,3011,BANNERS CO LTD,Japan,JP,Japan
1232,BNPJY,US,Banpu PCL ADR,Common Stock,USA,USD,US06670N1054,6.35,2022-08-02,BNPJY,BANPU PUBLIC CO L-UNSPON ADR,United States of America,US,USA
1233,BCGE,SW,Banque Cantonale de Geneve,Common Stock,Switzerland,CHF,CH0350494719,171.5,2022-08-03,BCGE,BANQUE CANTONALE DE GENEV-BR,Switzerland,CH,Switzerland
1234,BNB,BR,Banque nationale de Belgique Société anonyme,Common Stock,Belgium,EUR,BE0003008019,1605,2022-08-03,BNB,BANQUE NATIONALE DE BELGIQUE,Belgium,BE,Belgium
1235,BANSWRAS,NSE,Banswara Syntex Limited,Common Stock,India,INR,INE629D01012,243.4,2022-08-03,BANSWRAS,BANSWARA SYNTEX LIMITED,India,IN,India
1236,BANSWRAS,BSE,BANSWARA SYNTEX LTD.-$,Common Stock,India,INR,INE629D01012,242.7,2022-08-03,BANSWRAS,BANSWARA SYNTEX LIMITED,India,IN,India
1237,BYN,V,Banyan Gold Corp,Common Stock,Canada,CAD,CA06683K1066,0.47,2022-08-03,BYN,BANYAN GOLD CORP,Canada,CA,Canada
1238,B58,SG,Banyan Tree Holdings Limited,Common Stock,Singapore,SGD,SG1T49930665,0.295,2022-08-04,B58,BANYAN TREE HOLDINGS LTD,Singapore,SG,Singapore
1239,BZUN,US,Baozun Inc,Common Stock,USA,USD,US06684L1035,8.98,2022-08-03,BZUN,BAOZUN INC-SPN ADR,United States of America,US,USA
1240,BAP,AU,Burson Group Ltd,Common Stock,Australia,AUD,AU000000BAP9,6.68,2022-08-04,BAP,BAPCOR LTD,Australia,AU,Australia
1241,BHB,US,Bar Harbor Bankshares Inc,Common Stock,USA,USD,US0668491006,29.1,2022-08-03,BHB,BAR HARBOR BANKSHARES,United States of America,US,USA
1242,8432,HK,Bar Pacific Group Holdings Ltd,Common Stock,Hong Kong,HKD,KYG1058P1063,0.092,2022-08-04,8432,BAR PACIFIC GROUP HOLDINGS L,Hong Kong,KY,Hong Kong
1243,BVCL,NSE,Barak Valley Cements Limited,Common Stock,India,INR,INE139I01011,23.9,2022-08-03,BVCL,BARAK VALLEY CEMENTS LIMITED,India,IN,India
1244,BVCL,BSE,BARAK VALLEY CEMENTS LTD.,Common Stock,India,INR,INE139I01011,23.8,2022-08-03,BVCL,BARAK VALLEY CEMENTS LIMITED,India,IN,India
1245,BUI,PA,Barbara Bui SA,Common Stock,France,EUR,FR0000062788,9,2022-08-02,BUI,BARBARA BUI,France,FR,France
1246,BARC,LSE,Barclays PLC,Common Stock,UK,GBX,GB0031348658,163.32,2022-08-03,BARC,BARCLAYS PLC,Germany,GB,UK
1247,BAR,BR,Barco NV,Common Stock,Belgium,EUR,BE0974362940,25.5,2022-08-03,BAR,BARCO N.V.,Belgium,BE,Belgium
1248,BRFH,US,Barfresh Food Group Inc,Common Stock,USA,USD,US0675322004,4.37,2022-08-03,BRFH,BARFRESH FOOD GROUP INC,United States of America,US,USA
1249,BBDC,US,Barings BDC Inc,Common Stock,USA,USD,US06759L1035,9.9,2022-08-03,BBDC,BARINGS BDC INC,United States of America,US,USA
1250,BCCI,US,Baristas Coffee Company Inc,Common Stock,USA,USD,US0675943098,0.0108,2022-08-03,BCCI,BARISTAS COFFEE CO INC,United States of America,US,USA
1251,BAW,JSE,Barloworld Ltd,Common Stock,South Africa,ZAC,ZAE000026639,9126,2022-08-03,BAW,BARLOWORLD LTD,South Africa,ZA,South Africa
1252,B,US,Barnes Group Inc,Common Stock,USA,USD,US0678061096,33.89,2022-08-03,B,BARNES GROUP INC,United States of America,US,USA
1253,BRN,US,Barnwell Industries Inc,Common Stock,USA,USD,US0682211000,2.66,2022-08-03,BRN,BARNWELL INDUSTRIES INC,United States of America,US,USA
1254,BCAP,US,Baron Capital,Common Stock,USA,USD,US06827T1043,0.0001,2022-08-02,BCAP,BARON CAPITAL ENTERPRISE INC,United States of America,US,USA
1255,BOIL,LSE,Baron Oil PLC,Common Stock,UK,GBX,GB00B01QGH57,0.0775,2022-08-03,BOIL,BARON OIL PLC,United Kingdom,GB,UK
1256,BMD,LSE,Baronsmead Second Venture Trust plc,Common Stock,UK,GBX,GB0030028103,68.5,2022-08-02,BMD,BARONSMEAD SECOND VENTURE TR,United Kingdom,GB,UK
1257,BVT,LSE,Baronsmead Venture Trust Plc,Common Stock,UK,GBX,GB0002631934,64.5,2022-08-02,BVT,BARONSMEAD VENTURE TRUST PLC,United Kingdom,GB,UK
1258,3548,TSE,Baroque Japan Ltd,Common Stock,Japan,JPY,JP3778450001,814,2022-08-04,3548,BAROQUE JAPAN LTD,Japan,JP,Japan
1259,BDEV,LSE,Barratt Developments PLC,Common Stock,UK,GBX,GB0000811801,489.4,2022-08-03,BDEV,BARRATT DEVELOPMENTS PLC,United Kingdom,GB,UK
1260,BRLL,US,Barrel Energy Inc,Common Stock,USA,USD,US0684281019,0.0289,2022-08-03,BRLL,BARREL ENERGY INC,United States of America,US,USA
1261,BBSI,US,Barrett Business Services Inc,Common Stock,USA,USD,US0684631080,80.75,2022-08-03,BBSI,BARRETT BUSINESS SVCS INC,United States of America,US,USA
1262,BFOR,US,Barron's 400 ETF,ETF,USA,USD,US00162Q7262,55.83,2022-08-03,BFOR,BARRON'S 400 ETF,,US,USA
1263,BME,V,Barsele Minerals Corp,Common Stock,Canada,CAD,CA0688921083,0.315,2022-08-02,BME,BARSELE MINERALS CORP,Canada,CA,Canada
1264,BASA,US,Basanite Inc,Common Stock,USA,USD,US06975Q1004,0.105,2022-08-03,BASA,BASANITE INC,United States of America,US,USA
1265,BASF,NSE,BASF India Limited,Common Stock,India,INR,INE373A01013,2869.4,2022-08-03,BASF,BASF INDIA LIMITED,India,IN,India
1266,BASF,BSE,BASF INDIA LTD.,Common Stock,India,INR,INE373A01013,2866.2,2022-08-03,BASF,BASF INDIA LIMITED,India,IN,India
1267,BAN,MI,BasicNet S.p.A,Common Stock,Italy,EUR,IT0001033700,5.99,2022-08-03,BAN,BASICNET SPA,Italy,IT,Italy
1268,BAS,AU,Bass Strait Oil Co Ltd,Common Stock,Australia,AUD,AU000000BAS3,0.04,2022-08-04,BAS,BASS OIL LTD,Australia,AU,Australia
1269,BSET,US,Bassett Furniture Industries,Common Stock,USA,USD,US0702031040,22.02,2022-08-03,BSET,BASSETT FURNITURE INDS,United States of America,US,USA
1270,BSSP,US,Bassline Productions,Common Stock,USA,USD,US0702491079,0.0001,2022-08-03,BSSP,BASSLINE PRODUCTIONS INC,United States of America,US,USA
1271,BATAINDIA,NSE,Bata India Limited,Common Stock,India,INR,INE176A01028,1977.55,2022-08-03,BATAINDIA,BATA INDIA LTD,India,IN,India
1272,BATAINDIA,BSE,BATA INDIA LTD.,Common Stock,India,INR,INE176A01028,1979.1,2022-08-03,BATAINDIA,BATA INDIA LTD,India,IN,India
1273,BAT,V,Batero Gold Corp,Common Stock,Canada,CAD,CA0705051021,0.05,2022-08-03,BAT,BATERO GOLD CORP,Canada,CA,Canada
1274,BRL,AU,Bathurst Resources Limited,Common Stock,Australia,AUD,NZBRLE0001S4,1.0,2022-08-04,BRL,BATHURST RESOURCES LTD,Australia,NZ,Australia
1275,MLBAT,PA,Batla Minerals SA,Common Stock,France,EUR,FR0010436170,0.515,2022-08-03,MLBAT,BATLA MINERALS SA,France,FR,France
1276,BVC,TA,Batm Advanced Communications Ltd,Common Stock,Israel,ILA,IL0010849045,142.0,2022-08-03,BVC,BATM ADVANCED COMMUNICATIONS,United Kingdom,IL,Israel
1277,BAT,AU,Battery Minerals Ltd,Common Stock,Australia,AUD,AU000000BAT1,0.006,2022-08-04,BAT,BATTERY MINERALS LTD,Australia,AU,Australia
1278,B5A,XETRA,BAUER Aktiengesellschaft,Common Stock,Germany,EUR,DE0005168108,8.68,2022-08-03,B5A,BAUER AG,Germany,DE,Germany
1279,BMH,AU,Baumart Holdings Ltd,Common Stock,Australia,AUD,AU000000BMH1,0.1,2022-08-04,BMH,BAUMART HOLDINGS LTD,Australia,AU,Australia
1280,BHC,TO,Bausch Health Companies Inc,Common Stock,Canada,CAD,CA0717341071,6.67,2022-08-03,BHC,BAUSCH HEALTH COS INC,Germany,CA,Canada
1281,B8A,XETRA,BAVARIA Industries Group AG,Common Stock,Germany,EUR,DE0002605557,79,2022-08-03,B8A,BAVARIA INDUSTRIES GROUP AG,Germany,DE,Germany
1282,1338,HK,BaWang International Group Holding Ltd,Common Stock,Hong Kong,HKD,KYG090381032,0.055,2022-08-04,1338,BAWANG INTERNATIONAL GROUP,Hong Kong,KY,Hong Kong
1283,1194,HK,Bay Area Gold Group Ltd,Common Stock,Hong Kong,HKD,BMG089001058,0.35,2022-08-03,1194,BAY AREA GOLD GROUP LTD,Hong Kong,BM,USA
1284,BCML,US,BayCom Corp,Common Stock,USA,USD,US07272M1071,19.08,2022-08-03,BCML,BAYCOM CORP,United States of America,US,USA
1285,BAYERCROP,NSE,Bayer Cropscience Limited,Common Stock,India,INR,INE462A01022,5269.2,2022-08-03,BAYERCROP,BAYER CROPSCIENCE LTD,India,IN,India
1286,BAYERCROP,BSE,BAYER CROPSCIENCE LTD.,Common Stock,India,INR,INE462A01022,5266.3999,2022-08-03,BAYERCROP,BAYER CROPSCIENCE LTD,India,IN,India
1287,BHS,V,Bayhorse Silver Inc,Common Stock,Canada,CAD,CA07278W1095,0.04,2022-08-03,BHS,BAYHORSE SILVER INC,Canada,CA,Canada
1288,BYL,TO,Baylin Technologies Inc,Common Stock,Canada,CAD,CA0728191051,0.47,2022-08-03,BYL,BAYLIN TECHNOLOGIES INC,Canada,CA,Canada
1289,BAYP,US,Bayport International Holdings Inc,Common Stock,USA,USD,US0730683069,0.0122,2022-08-02,BAYP,BAYPORT INTERNATIONAL HOLDIN,United States of America,US,USA
1290,BYSD,US,Bayside Corp,Common Stock,USA,USD,US0731482073,0.21,2022-08-03,BYSD,BAYSIDE CORP,United States of America,US,USA
1291,BTE,TO,Baytex Energy Corp,Common Stock,Canada,CAD,CA07317Q1054,6.04,2022-08-03,BTE,BAYTEX ENERGY CORP,United States of America,CA,Canada
1292,BCBP,US,BCB Bancorp Inc,Common Stock,USA,USD,US0552981039,19.39,2022-08-03,BCBP,BCB BANCORP INC,United States of America,US,USA
1293,BCE,TO,BCE Inc,Common Stock,Canada,CAD,CA05534B7604,63.64,2022-08-03,BCE,BCE INC,Canada,CA,Canada
1294,ALBDM,PA,Bd Multimedia,Common Stock,France,EUR,FR0000035305,3.11,2022-08-03,ALBDM,BD MULTIMEDIA,France,FR,France
1295,BDOUY,US,BDO Unibank Inc ADR,Common Stock,USA,USD,US05537Y3045,20.553,2022-08-03,BDOUY,BDO UNIBANK INC-SPON ADR,United States of America,US,USA
1296,JALA,US,Be Active Holdings Inc,Common Stock,USA,USD,US0733012027,0.0007,2022-08-02,JALA,BE ACTIVE HOLDINGS INC,United States of America,US,USA
1297,BEGR,ST,BE Group AB,Common Stock,Sweden,SEK,SE0008321921,129.6,2022-08-03,BEGR,BE GROUP AB,Sweden,SE,Sweden
1298,BESI,AS,BE Semiconductor Industries NV,Common Stock,Netherlands,EUR,NL0012866412,53.64,2022-08-03,BESI,BE SEMICONDUCTOR INDUSTRIES,Netherlands,NL,Netherlands
1299,BCBF,US,Beach Community Bancshares Inc,Common Stock,USA,USD,US07332T1007,0.3,2022-08-03,BCBF,BEACH COMMUNITY BANCSHARES I,United States of America,US,USA
1300,BCHEY,US,Beach Energy Ltd,Common Stock,USA,USD,US0733331062,25,2022-08-03,BCHEY,BEACH ENERGY LTD-UNSP ADR,United States of America,US,USA
1301,BLX,AU,Beacon Lighting Group Ltd,Common Stock,Australia,AUD,AU000000BLX0,2.35,2022-08-04,BLX,BEACON LIGHTING GROUP LTD,Australia,AU,Australia
1302,BCN,AU,Beacon Minerals Ltd,Common Stock,Australia,AUD,AU000000BCN0,0.029,2022-08-04,BCN,BEACON MINERALS LTD,Australia,AU,Australia
1303,BECN,US,Beacon Roofing Supply Inc,Common Stock,USA,USD,US0736851090,60.7,2022-08-03,BECN,BEACON ROOFING SUPPLY INC,United States of America,US,USA
1304,3981,TSE,Beaglee Inc,Common Stock,Japan,JPY,JP3799710003,1518,2022-08-04,3981,BEAGLEE INC,Japan,JP,Japan
1305,BCC,AU,Beam Communications Holdings Ltd,Common Stock,Australia,AUD,AU0000031395,0.29,2022-08-04,BCC,BEAM COMMUNICATIONS HOLDINGS,Australia,AU,Australia
1306,BZIC,US,Beamz Interactive,Common Stock,USA,USD,US07378U1025,0.0005,2022-08-02,BZIC,BEAMZ INTERACTIVE INC,United States of America,US,USA
1307,BCM,V,Bear Creek Mining Corporation,Common Stock,Canada,CAD,CA07380N1042,0.9,2022-08-03,BCM,BEAR CREEK MINING CORPORATION,Canada,CA,Canada
1308,BEARDSELL,NSE,Beardsell Limited,Common Stock,India,INR,INE520H01022,24.5,2022-08-03,BEARDSELL,BEARDSELL LTD,India,IN,India
1309,BEARDSELL,BSE,Beardsell Ltd,Common Stock,India,INR,INE520H01022,24.4,2022-08-03,BEARDSELL,BEARDSELL LTD,India,IN,India
1310,BRZ,V,Bearing Lithium Corp,Common Stock,Canada,CAD,CA0738981087,0.285,2022-08-03,BRZ,BEARING LITHIUM CORP,Canada,CA,Canada
1311,9399,TSE,Beat Holdings Ltd,Common Stock,Japan,JPY,KYG9827X1025,26,2022-08-04,9399,BEAT HOLDINGS LTD,Japan,KY,Hong Kong
1312,BGF,V,Beauce Gold Fields Inc,Common Stock,Canada,CAD,CA0743041067,0.07,2022-08-03,BGF,BEAUCE GOLD FIELDS INC,Canada,CA,Canada
1313,3041,TSE,Beauty Kadan Co Ltd,Common Stock,Japan,JPY,JP3800470001,281,2022-08-04,3041,BEAUTY KADAN CO LTD,Japan,JP,Japan
1314,BZH,US,Beazer Homes USA Inc,Common Stock,USA,USD,US07556Q8814,14.59,2022-08-03,BZH,BEAZER HOMES USA INC,United States of America,US,USA
1315,BEZ,LSE,Beazley plc,Common Stock,UK,GBX,GB00BYQ0JC66,541.0,2022-08-03,BEZ,BEAZLEY PLC,Mexico,GB,UK
1316,BEBE,US,bebe stores inc,Common Stock,USA,USD,US0755712082,7.5,2022-08-03,BEBE,BEBE STORES INC,United States of America,US,USA
1317,BBDA,US,Bebida Beverage Co,Common Stock,USA,USD,US07557Q4010,0,2022-08-02,BBDA,BEBIDA BEVERAGE CO,United States of America,US,USA
1318,BDX,US,Becton Dickinson and Company,Common Stock,USA,USD,US0758871091,244.93,2022-08-03,BDX,BECTON DICKINSON AND CO,Germany,US,USA
1319,BBBY,US,Bed Bath & Beyond Inc,Common Stock,USA,USD,US0758961009,6.07,2022-08-03,BBBY,BED BATH & BEYOND INC,Germany,US,USA
1320,BEDMUTHA,NSE,Bedmutha Industries Limited,Common Stock,India,INR,INE844K01012,68.05,2022-08-03,BEDMUTHA,BEDMUTHA INDUSTRIES LTD,India,IN,India
1321,BEDMUTHA,BSE,BEDMUTHA INDUSTRIES LTD.,Common Stock,India,INR,INE844K01012,69.65,2022-08-03,BEDMUTHA,BEDMUTHA INDUSTRIES LTD,India,IN,India
1322,BKS,LSE,Beeks Trading Corporation Ltd,Common Stock,UK,GBX,GB00BZ0X8W18,152,2022-08-03,BKS,BEEKS FINANCIAL CLOUD GROUP,United Kingdom,GB,UK
1323,3328,TSE,Beenos Inc,Common Stock,Japan,JPY,JP3758110005,2548,2022-08-04,3328,BEENOS INC,Japan,JP,Japan
1324,601678,SHG,Befar Group Co Ltd,Common Stock,China,CNY,CNE100000L97,5.57,2022-08-04,601678,BEFAR GROUP CO LTD-A,China,CN,China
1325,BGA,AU,Bega Cheese Ltd,Common Stock,Australia,AUD,AU000000BGA8,3.73,2022-08-04,BGA,BEGA CHEESE LTD,Australia,AU,Australia
1326,BEG,LSE,Begbies Traynor Group PLC,Common Stock,UK,GBX,GB00B0305S97,141.4,2022-08-03,BEG,BEGBIES TRAYNOR GROUP PLC,United Kingdom,GB,UK
1327,BDRFY,US,Beiersdorf AG ADR,Common Stock,USA,USD,US07724U1034,20.73,2022-08-03,BDRFY,BEIERSDORF AG-UNSPON ADR,United States of America,US,USA
1328,6160,HK,Beigene Ltd,Common Stock,Hong Kong,HKD,KYG1146Y1017,104,2022-08-04,6160,BEIGENE LTD,Hong Kong,KY,Hong Kong
1329,BELE,ST,Beijer Electronics AB,Common Stock,Sweden,SEK,SE0000671711,67.3,2022-08-03,BELE,BEIJER ELECTRONICS GROUP AB,Sweden,SE,Sweden
1330,959,SHE,Beijing Shougang Co Ltd,Common Stock,China,CNY,CNE000001196,4.05,2022-08-04,959,BEIJING SHOUGANG CO LTD-A,China,CN,China
1331,2339,HK,Beijingwest Industries International Ltd,Common Stock,Hong Kong,HKD,KYG1145N1144,0.6,2022-08-04,2339,BEIJINGWEST INDUSTRIES INTER,Hong Kong,KY,Hong Kong
1332,600166,SHG,Beiqi Foton Motor Co Ltd,Common Stock,China,CNY,CNE000000WC6,2.68,2022-08-04,600166,BEIQI FOTON MOTOR CO LTD-A,China,CN,China
1333,BELFA,US,Bel Fuse A Inc,Common Stock,USA,USD,US0773472016,28.49,2022-08-03,BELFA,BEL FUSE INC-CL A,United States of America,US,USA
1334,BDC,US,Belden Inc,Common Stock,USA,USD,US0774541066,67.16,2022-08-03,BDC,BELDEN INC,Germany,US,USA
1335,BELR,BR,Belgian Resources and Capital Company,Common Stock,Belgium,EUR,BE0020575115,6,2022-07-28,BELR,BELGIAN RESOURCES & CAPITAL,Belgium,BE,Belgium
1336,BEAN,SW,Belimo Holding,Common Stock,Switzerland,CHF,CH1101098163,384,2022-08-03,BEAN,BELIMO HOLDING AG-REG,Switzerland,CH,Switzerland
1337,BFG,AU,Bell Financial Group Ltd,Common Stock,Australia,AUD,AU000000BFG7,1.18,2022-08-04,BFG,BELL FINANCIAL GROUP LTD,Australia,AU,Australia
1338,BGL,AU,Bellevue Gold Ltd,Common Stock,Australia,AUD,AU0000019374,0.83,2022-08-04,BGL,BELLEVUE GOLD LTD,Australia,AU,Australia
1339,6183,TSE,BELLSYSTEM24 Holdings Inc,Common Stock,Japan,JPY,JP3835760004,1530,2022-08-04,6183,BELLSYSTEM24 HOLDINGS INC,Japan,JP,Japan
1340,9997,TSE,Belluna Co Ltd,Common Stock,Japan,JPY,JP3835650007,743,2022-08-04,9997,BELLUNA CO LTD,Japan,JP,Japan
1341,BLWYY,US,Bellway PLC ADR,Common Stock,USA,USD,US0798901098,45.75,2022-08-02,BLWYY,BELLWAY PLC-UNSPONSORED ADR,United States of America,US,USA
1342,BEA,V,Belmont Resources Inc,Common Stock,Canada,CAD,CA0804995029,0.07,2022-08-03,BEA,BELMONT RESOURCES INC,Canada,CA,Canada
1343,BELU,BR,Beluga,Common Stock,Belgium,EUR,BE0003723377,2.64,2022-07-26,BELU,BELUGA,Belgium,BE,Belgium
1344,BLV,LSE,Belvoir Group PLC,Common Stock,UK,GBX,GB00B4QY1P51,232.5,2022-08-03,BLV,BELVOIR GROUP PLC,United Kingdom,GB,UK
1345,BMXC,US,Bemax Inc,Common Stock,USA,USD,US0813603075,0.0119,2022-08-03,BMXC,BEMAX INC,United States of America,US,USA
1346,BMET,V,BeMetals Corp,Common Stock,Canada,CAD,CA0813791096,0.13,2022-08-03,BMET,BEMETALS CORP,Canada,CA,Canada
1347,BEML,NSE,BEML Limited,Common Stock,India,INR,INE258A01016,1431.05,2022-08-03,BEML,BEML LIMITED,India,IN,India
1348,BEML,BSE,BEML LTD.,Common Stock,India,INR,INE258A01016,1430.1,2022-08-03,BEML,BEML LIMITED,India,IN,India
1349,3934,TSE,Benefit Japan Co Ltd,Common Stock,Japan,JPY,JP3835680004,1794,2022-08-04,3934,BENEFIT JAPAN CO LTD,Japan,JP,Japan
1350,BNFT,US,Benefitfocus Inc,Common Stock,USA,USD,US08180D1063,8,2022-08-03,BNFT,BENEFITFOCUS INC,United States of America,US,USA
1351,9783,TSE,Benesse Holdings,Common Stock,Japan,JPY,JP3835620000,2359,2022-08-04,9783,BENESSE HOLDINGS INC,Japan,JP,Japan
1352,761,SHE,Bengang Steel Plates Co Ltd,Common Stock,China,CNY,CNE000000TX8,3.44,2022-08-04,761,BENGANG STEEL PLATES CO-A,China,CN,China
1353,BEL,AU,Bentley Capital Ltd,Common Stock,Australia,AUD,AU000000BEL0,0.075,2022-08-04,BEL,BENTLEY CAPITAL LTD,Australia,AU,Australia
1354,BEX,V,Benton Resources Inc,Common Stock,Canada,CAD,CA0832981090,0.12,2022-08-02,BEX,BENTON RESOURCES INC,Canada,CA,Canada
1355,BEM,LSE,Beowulf Mining,Common Stock,UK,GBX,GB0033163287,5.65,2022-08-03,BEM,BEOWULF MINING PLC,United Kingdom,GB,UK
1356,1383,TSE,Berg Earth Co Ltd,Common Stock,Japan,JPY,JP3835730007,2714,2022-08-04,1383,BERG EARTH CO LTD,Japan,JP,Japan
1357,BGBIO,OL,Bergenbio ASA,Common Stock,Norway,NOK,NO0010650013,14,2022-08-03,BGBIO,BERGENBIO ASA,Norway,NO,Norway
1358,BKY,AU,Berkeley Energy Ltd,Common Stock,Australia,AUD,AU000000BKY0,0.345,2022-08-04,BKY,BERKELEY ENERGIA LTD,United Kingdom,AU,Australia
1359,BKG,LSE,The Berkeley Group Holdings plc,Common Stock,UK,GBX,GB00BLJNXL82,4179,2022-08-03,BKG,BERKELEY GROUP HOLDINGS/THE,Mexico,GB,UK
1360,BERK,US,Berkshire Bancorp Inc,Common Stock,USA,USD,US0845972027,10.6,2022-08-03,BERK,BERKSHIRE BANCORP INC,United States of America,US,USA
1361,BHLB,US,Berkshire Hills Bancorp Inc,Common Stock,USA,USD,US0846801076,28.85,2022-08-03,BHLB,BERKSHIRE HILLS BANCORP INC,United States of America,US,USA
1362,BLJZY,US,Berli Jucker PCL ADR,Common Stock,USA,USD,US0847521046,9.64,2022-08-02,BLJZY,BERLI JUCKER PUBLIC CO-ADR,United States of America,US,USA
1363,BFV,F,Berliner Effektengesellschaft AG,Common Stock,Germany,EUR,DE0005221303,79,2022-08-03,BFV,BERLINER EFFEKTENGESELLSCHAF,Germany,DE,Germany
1364,ALDBL,PA,Bernard Loisea,Common Stock,France,EUR,FR0000066961,3.98,2022-08-03,ALDBL,BERNARD LOISEAU SA,France,FR,France
1365,710,SHE,Berry Genomics Co Ltd,Common Stock,China,CNY,CNE000000PN7,12.42,2022-08-04,710,BERRY GENOMICS CO LTD-A,China,CN,China
1366,BERY,US,Berry Global Group Inc,Common Stock,USA,USD,US08579W1036,54.33,2022-08-03,BERY,BERRY GLOBAL GROUP INC,United States of America,US,USA
1367,BDT,XETRA,Bertrandt Aktiengesellschaft,Common Stock,Germany,EUR,DE0005232805,37.9,2022-08-03,BDT,BERTRANDT AG,Germany,DE,Germany
1368,BDT,F,Bertrandt Aktiengesellschaft,Common Stock,Germany,EUR,DE0005232805,37.35,2022-08-03,BDT,BERTRANDT AG,Germany,DE,Germany
1369,BSPK,US,Bespoke Extracts Inc,Common Stock,USA,USD,US08634Q1094,0.0141,2022-08-03,BSPK,BESPOKE EXTRACTS INC,United States of America,US,USA
1370,BBY,US,Best Buy Co Inc,Common Stock,USA,USD,US0865161014,75.69,2022-08-03,BBY,BEST BUY CO INC,Germany,US,USA
1371,BFC,AU,Beston Global Food Co Ltd,Common Stock,Australia,AUD,AU000000BFC6,0.073,2022-08-04,BFC,BESTON GLOBAL FOOD CO LTD,Australia,AU,Australia
1372,600681,SHG,Bestsun Energy Co Ltd,Common Stock,China,CNY,CNE0000003J7,4.55,2022-08-04,600681,BESTSUN ENERGY CO LTD-A,China,CN,China
1373,BSS,F,Beta Systems Software AG,Common Stock,Germany,EUR,DE000A2BPP88,42.4,2022-08-03,BSS,BETA SYSTEMS SOFTWARE AG,Germany,DE,Germany
1374,AAA,AU,Australian High Interest Cash,ETF,Australia,AUD,AU000000AAA3,50.085,2022-08-04,AAA,BETASHARES AUS HIGH INTEREST,,AU,Australia
1375,BBED,AS,Beter Bed Holding N.V,Common Stock,Netherlands,EUR,NL0000339703,3.86,2022-08-03,BBED,BETER BED HOLDING NV,Netherlands,NL,Netherlands
1376,603596,SHG,Bethel Automotive Safety Systems Co Ltd Class A,Common Stock,China,CNY,CNE1000030Y7,97.79,2022-08-04,603596,BETHEL AUTOMOTIVE SAFETY S-A,China,CN,China
1377,BET,AU,Betmakers Technology Group Ltd,Common Stock,Australia,AUD,AU0000050585,0.475,2022-08-04,BET,BETMAKERS TECHNOLOGY GROUP L,Australia,AU,Australia
1378,BTTR,US,Better Choice Company Inc,Common Stock,USA,USD,US08771Y3036,2.32,2022-08-03,BTTR,BETTER CHOICE CO INC,United States of America,US,USA
1379,BEW,V,Bewhere Holdings Inc,Common Stock,Canada,CAD,CA08825T1021,0.245,2022-08-03,BEW,BEWHERE HOLDINGS INC,Canada,CA,Canada
1380,1775,HK,Bexcellent Grp Hldg Ltd,Common Stock,Hong Kong,HKD,KYG108021091,0.44,2022-08-04,1775,BEXCELLENT GROUP HOLDINGS LT,Hong Kong,KY,Hong Kong
1381,BXLC,US,Bexil Cp,Common Stock,USA,USD,US0885771016,27.75,2022-08-03,BXLC,BEXIL CORPORATION,United States of America,US,USA
1382,BYSI,US,BeyondSpring Inc,Common Stock,USA,USD,KYG108301006,1.39,2022-08-03,BYSI,BEYONDSPRING INC,United States of America,KY,Hong Kong
1383,BZT,LSE,Bezant Resources Plc,Common Stock,UK,GBX,GB00B1CKQD97,0.1025,2022-08-03,BZT,BEZANT RESOURCES PLC,United Kingdom,GB,UK
1384,BEZQ,TA,Bezeq Israeli Telecommunication Corp Ltd,Common Stock,Israel,ILA,IL0002300114,584.3,2022-08-03,BEZQ,BEZEQ THE ISRAELI TELECOM CO,Israel,IL,Israel
1385,BFINVEST,NSE,BF Investment Limited,Common Stock,India,INR,INE878K01010,271.35,2022-08-03,BFINVEST,BF INVESTMENT LTD,India,IN,India
1386,BFINVEST,BSE,BF INVESTMENT LTD.,Common Stock,India,INR,INE878K01010,272.0,2022-08-03,BFINVEST,BF INVESTMENT LTD,India,IN,India
1387,BANFP,US,BFC Capital Trust II Pref,Preferred Stock,USA,USD,US05539S2068,27.53,2022-08-03,BANFP,"BFC CAPITAL TRUST II, 7.20% CUMUL TRUST PREFERRED SECURITIES",United States of America,US,USA
1388,BGMD,US,BG Medicine Inc,Common Stock,USA,USD,US08861T2069,0.0001,2022-08-02,BGMD,BG MEDICINE INC,United States of America,US,USA
1389,BGCP,US,BGC Partners Inc,Common Stock,USA,USD,US05541T1016,3.97,2022-08-03,BGCP,BGC PARTNERS INC-CL A,Germany,US,USA
1390,BGRENERGY,NSE,BGR Energy Systems Limited,Common Stock,India,INR,INE661I01014,77.05,2022-08-03,BGRENERGY,BGR ENERGY SYSTEMS LIMITED,India,IN,India
1391,BGRENERGY,BSE,BGR ENERGY SYSTEMS LTD.,Common Stock,India,INR,INE661I01014,76.95,2022-08-03,BGRENERGY,BGR ENERGY SYSTEMS LIMITED,India,IN,India
1392,BHMG,LSE,BH Macro Ltd,Common Stock,UK,GBX,GG00B1NP5142,4460.0,2022-08-03,BHMG,BH MACRO LTD,United Kingdom,GG,UK
