,EOD_Code,EOD_Exchange,EOD_Name,EOD_Type,EOD_Country,EOD_Currency,EOD_ISIN,EOD_previousClose,EOD_previousCloseDate,Origin_Stock,Origin_Name,Origin_Country,list_isin_2,country_by_isin
37,ABTZY,US,Aboitiz Equity Ventures Inc ADR,Common Stock,USA,USD,US0037253061,9.73,2022-08-03,ABTZY,ABOITIZ EQUITY VENTURES-ADR,United States of America,US,USA
38,533,SG,ABR Holdings Limited,Common Stock,Singapore,SGD,SG0533000253,0.45,2022-08-03,533,ABR HOLDINGS LTD,Singapore,SG,Singapore
39,AXAS,US,Abraxas Petroleum Corporation,Common Stock,USA,USD,US0038303048,1.62,2022-08-03,AXAS,ABRAXAS PETROLEUM CORP,Germany,US,USA
40,ABG,JSE,Absa Group Ltd,Common Stock,South Africa,ZAC,ZAE000255915,17268,2022-08-03,ABG,ABSA GROUP LTD,South Africa,ZA,South Africa
41,541,SG,Abundance International Limited,Common Stock,Singapore,SGD,SG1I02877971,0.029,2022-08-04,541,ABUNDANCE INTERNATIONAL LTD,Singapore,SG,Singapore
42,ACIU,US,AC Immune Ltd,Common Stock,USA,USD,CH0329023102,3.415,2022-08-03,ACIU,AC IMMUNE SA,United States of America,CH,Switzerland
43,ACCA,US,Acacia Diversified Holdings Inc,Common Stock,USA,USD,US00389L1044,0.0001,2022-08-03,ACCA,ACACIA DIVERSIFIED HOLDINGS,United States of America,US,USA
44,ACTG,US,Acacia Research Corporation,Common Stock,USA,USD,US0038813079,5.01,2022-08-03,ACTG,ACACIA RESEARCH CORP,United States of America,US,USA
45,AKG,AU,Academies Australasia Group,Common Stock,Australia,AUD,AU000000AKG9,0.33,2022-08-04,AKG,ACADEMIES AUSTRALASIA GROUP,Australia,AU,Australia
46,ACHC,US,Acadia Healthcare Company Inc,Common Stock,USA,USD,US00404A1097,81.94,2022-08-03,ACHC,ACADIA HEALTHCARE CO INC,United States of America,US,USA
47,ACAD,US,ACADIA Pharmaceuticals Inc,Common Stock,USA,USD,US0042251084,14.97,2022-08-03,ACAD,ACADIA PHARMACEUTICALS INC,United States of America,US,USA
48,AKR,US,Acadia Realty Trust,Common Stock,USA,USD,US0042391096,16.32,2022-08-03,AKR,ACADIA REALTY TRUST,United States of America,US,USA
49,ADN,TO,Acadian Timber Corp,Common Stock,Canada,CAD,CA0042721005,17.0,2022-08-03,ADN,ACADIAN TIMBER CORP,Canada,CA,Canada
50,ACST,V,Acasti Pharma Inc,Common Stock,Canada,CAD,CA00430K8730,1.04,2022-08-02,ACST,ACASTI PHARMA INC,United States of America,CA,Canada
51,AXE,V,Acceleware Ltd,Common Stock,Canada,CAD,CA00433V1085,0.44,2022-08-02,AXE,ACCELEWARE LTD,Canada,CA,Canada
52,ACCEL,AS,Accell Group NV,Common Stock,Netherlands,EUR,NL0009767532,57.55,2022-08-03,ACCEL,ACCELL GROUP,Netherlands,NL,Netherlands
53,ACCELYA,NSE,Accelya Solutions India Limited,Common Stock,India,INR,INE793A01012,1063.5,2022-08-03,ACCELYA,ACCELYA SOLUTIONS INDIA LTD,India,IN,India
54,ACCELYA,BSE,Accelya Solutions India Ltd,Common Stock,India,INR,INE793A01012,1061.6,2022-08-03,ACCELYA,ACCELYA SOLUTIONS INDIA LTD,India,IN,India
55,AX1,AU,Accent Group Ltd,Common Stock,Australia,AUD,AU000000AX19,1.39,2022-08-04,AX1,ACCENT GROUP LTD,Australia,AU,Australia
56,4813,TSE,Access Co Ltd,Common Stock,Japan,JPY,JP3108060009,834,2022-08-04,4813,ACCESS CO LTD,Japan,JP,Japan
57,7042,TSE,Access Group Holdings Co Ltd,Common Stock,Japan,JPY,JP3108190004,820,2022-08-04,7042,ACCESS GROUP HOLDINGS CO LTD,Japan,JP,Japan
58,ACCR,US,Access-Power & Co. Inc,Common Stock,USA,USD,US00431N1081,0.0031,2022-08-02,ACCR,ACCESS-POWER & CO INC,United States of America,US,USA
59,ACSO,LSE,Accesso Technology Group PLC,Common Stock,UK,GBX,GB0001771426,650.0,2022-08-03,ACSO,ACCESSO TECHNOLOGY GROUP PLC,United Kingdom,GB,UK
60,ANA,MC,Acciona,Common Stock,Spain,EUR,ES0125220311,195.7,2022-08-03,ANA,ACCIONA SA,Spain,ES,Spain
61,ACCO,US,Acco Brands Corporation,Common Stock,USA,USD,US00081T1088,7.15,2022-08-03,ACCO,ACCO BRANDS CORP,United States of America,US,USA
62,ACD,TO,Accord Financial Corp.,Common Stock,Canada,CAD,CA00435L1085,9.05,2022-08-03,ACD,ACCORD FINANCIAL CORP,Canada,CA,Canada
63,4395,TSE,Accrete Inc,Common Stock,Japan,JPY,JP3108180005,2005,2022-08-04,4395,ACCRETE INC,Japan,JP,Japan
64,ACRL,LSE,Accrol Group Holdings PLC,Common Stock,UK,GBX,GB00BZ6VT592,26.4,2022-08-03,ACRL,ACCROL GROUP HOLDINGS PLC,United Kingdom,GB,UK
65,AXS,AS,Accsys Technologies,Common Stock,Netherlands,EUR,GB00BQQFX454,1.192,2022-08-03,AXS,ACCSYS TECHNOLOGIES PLC,Netherlands,GB,UK
66,ACCURACY,NSE,Accuracy Shipping Limited,Common Stock,India,INR,INE648Z01015,208.75,2022-08-03,ACCURACY,ACCURACY SHIPPING LTD,India,IN,India
67,ARAY,US,Accuray Incorporated,Common Stock,USA,USD,US0043971052,2.1,2022-08-03,ARAY,ACCURAY INC,Germany,US,USA
68,ACRX,US,AcelRx Pharmaceuticals Inc,Common Stock,USA,USD,US00444T1007,0.22,2022-08-03,ACRX,ACELRX PHARMACEUTICALS INC,United States of America,US,USA
69,ACER,US,Acer Therapeutics Inc,Common Stock,USA,USD,US00444P1084,1.34,2022-08-03,ACER,ACER THERAPEUTICS INC,United States of America,US,USA
70,ASPCF,US,Acerus Pharmaceuticals Corporation,Common Stock,USA,USD,CA00444G4051,1.48,2022-08-03,ASPCF,ACERUS PHARMACEUTICALS CORP,United States of America,CA,Canada
71,5142,TSE,Achilles Corp,Common Stock,Japan,JPY,JP3108000005,1394,2022-08-04,5142,ACHILLES CORP,Japan,JP,Japan
72,ACIW,US,ACI Worldwide Inc,Common Stock,USA,USD,US0044981019,28.5,2022-08-03,ACIW,ACI WORLDWIDE INC,Germany,US,USA
73,ACKB,BR,Ackermans & Van Haaren NV,Common Stock,Belgium,EUR,BE0003764785,139.4,2022-08-03,ACKB,ACKERMANS & VAN HAAREN,Belgium,BE,Belgium
74,ACRS,US,Aclaris Therapeutics Inc,Common Stock,USA,USD,US00461U1051,14.4,2022-08-03,ACRS,ACLARIS THERAPEUTICS INC,United States of America,US,USA
75,ACMR,US,Acm Research Inc,Common Stock,USA,USD,US00108J1097,17.3,2022-08-03,ACMR,ACM RESEARCH INC-CLASS A,United States of America,US,USA
76,ACU,US,Acme United Corporation,Common Stock,USA,USD,US0048161048,29.35,2022-08-03,ACU,ACME UNITED CORP,United States of America,US,USA
77,6888,TSE,Acmos Inc,Common Stock,Japan,JPY,JP3108100003,359,2022-08-04,6888,ACMOS INC,Japan,JP,Japan
78,ACNB,US,ACNB Corporation,Common Stock,USA,USD,US0008681092,34.36,2022-08-03,ACNB,ACNB CORP,United States of America,US,USA
79,8572,TSE,Acom Co Ltd,Common Stock,Japan,JPY,JP3108600002,353,2022-08-04,8572,ACOM CO LTD,Japan,JP,Japan
80,ACOR,US,Acorda Therapeutics Inc,Common Stock,USA,USD,US00484M6012,0.4659,2022-08-03,ACOR,ACORDA THERAPEUTICS INC,Germany,US,USA
81,ACQ,AU,Acorn Capital Invest Fund,Common Stock,Australia,AUD,AU000000ACQ5,1.2,2022-08-04,ACQ,ACORN CAPITAL INVESTMENT FUN,Australia,AU,Australia
82,ACFN,US,Acorn Energy Inc,Common Stock,USA,USD,US0048481073,0.51,2022-08-03,ACFN,ACORN ENERGY INC,United States of America,US,USA
83,ACF,AU,Acrow Formwork and Construction Services Ltd,Common Stock,Australia,AUD,AU0000006124,0.47,2022-08-04,ACF,ACROW FORMWORK AND CONSTRUCT,Australia,AU,Australia
84,ATIC,ST,Actic Group AB,Common Stock,Sweden,SEK,SE0009269467,8.6,2022-08-03,ATIC,ACTIC GROUP AB,Sweden,SE,Sweden
85,ATNM,US,Actinium Pharmaceuticals Inc,Common Stock,USA,USD,US00507W2061,5.1,2022-08-03,ATNM,ACTINIUM PHARMACEUTICALS INC,United States of America,US,USA
86,ACW,AU,Actinogen Medical Ltd,Common Stock,Australia,AUD,AU000000ACW3,0.068,2022-08-04,ACW,ACTINOGEN MEDICAL LTD,Australia,AU,Australia
87,ACE,NSE,Action Construction Equipment Limited,Common Stock,India,INR,INE731H01025,223.85,2022-08-03,ACE,ACTION CONSTRUCTION EQUIPMEN,India,IN,India
88,ACE,BSE,ACTION CONSTRUCTION EQUIPMENT LTD.,Common Stock,India,INR,INE731H01025,223.85,2022-08-03,ACE,ACTION CONSTRUCTION EQUIPMEN,India,IN,India
89,3279,TSE,Activia Properties Inc,Common Stock,Japan,JPY,JP3047490002,418000,2022-08-04,3279,ACTIVIA PROPERTIES INC,Japan,JP,Japan
90,ATVI,US,Activision Blizzard Inc,Common Stock,USA,USD,US00507V1098,80.59,2022-08-03,ATVI,ACTIVISION BLIZZARD INC,Mexico,US,USA
91,ACT,LSE,Actual Experience plc,Common Stock,UK,GBX,GB00BJ05QC14,2.25,2022-08-03,ACT,ACTUAL EXPERIENCE PLC,United Kingdom,GB,UK
92,AYI,US,Acuity Brands Inc,Common Stock,USA,USD,US00508Y1029,176.07,2022-08-03,AYI,ACUITY BRANDS INC,United States of America,US,USA
93,AT,TO,AcuityAds Holdings Inc,Common Stock,Canada,CAD,CA00510L1067,3.32,2022-08-03,AT,ACUITYADS HOLDING INC,Canada,CA,Canada
94,ACUR,US,Acura Pharmaceuticals Inc,Common Stock,USA,USD,US00509L8028,0.1,2022-08-03,ACUR,ACURA PHARMACEUTICALS INC,United States of America,US,USA
95,GOLF,US,Acushnet Holdings Corp,Common Stock,USA,USD,US0050981085,48.71,2022-08-03,GOLF,ACUSHNET HOLDINGS CORP,United States of America,US,USA
96,ACUS,US,Acusphere Inc,Common Stock,USA,USD,US00511R8549,0,2022-08-02,ACUS,ACUSPHERE INC,United States of America,US,USA
97,ADA,AU,Adacel Tech Ltd,Common Stock,Australia,AUD,AU000000ADA7,0.9,2022-08-04,ADA,ADACEL TECHNOLOGIES LIMITED,Australia,AU,Australia
98,ADH,AU,Adairs Ltd,Common Stock,Australia,AUD,AU000000ADH2,2.45,2022-08-04,ADH,ADAIRS LTD,Australia,AU,Australia
99,1AD,AU,Adalta Ltd,Common Stock,Australia,AUD,AU0000001AD2,0.052,2022-08-04,1AD,ADALTA LTD,Australia,AU,Australia
100,553,SHE,ADAMA Ltd,Common Stock,China,CNY,CNE0000004V0,10.72,2022-08-04,553,ADAMA LTD-A,China,CN,China
101,ADZ,V,Adamera Minerals Corp.,Common Stock,Canada,CAD,CA00547Y1051,0.06,2022-08-02,ADZ,ADAMERA MINERALS CORP,Canada,CA,Canada
102,ADMP,US,Adamis Pharma,Common Stock,USA,USD,US00547W2089,0.38,2022-08-03,ADMP,ADAMIS PHARMACEUTICALS CORP,United States of America,US,USA
103,PEO,US,Adams Natural Resources Closed Fund,FUND,USA,USD,US00548F1057,20.49,2022-08-03,PEO,ADAMS NATURAL RESOURCES FUND,United States of America,US,USA
104,ADA,LSE,Adams Plc,Common Stock,UK,GBX,IM00B986V543,6,2022-08-03,ADA,ADAMS PLC,United Kingdom,IM,UK
105,ADANIENT,NSE,Adani Enterprises Limited,Common Stock,India,INR,INE423A01024,2711.4,2022-08-03,ADANIENT,ADANI ENTERPRISES LTD,India,IN,India
106,ADANIENT,BSE,ADANI ENTERPRISES LTD.,Common Stock,India,INR,INE423A01024,2711.55,2022-08-03,ADANIENT,ADANI ENTERPRISES LTD,India,IN,India
107,ADAP,US,Adaptimmune Therapeutics Plc,Common Stock,USA,USD,US00653A1079,1.94,2022-08-03,ADAP,ADAPTIMMUNE THERAPEUTICS-ADR,United States of America,US,USA
108,AATV,US,Adaptive Ad Systems Inc,Common Stock,USA,USD,US00650A1007,0.476,2022-08-03,AATV,ADAPTIVE AD SYSTEMS INC,United States of America,US,USA
109,ADPT,US,Adaptive Biotechnologies Corp,Common Stock,USA,USD,US00650F1093,9.89,2022-08-03,ADPT,ADAPTIVE BIOTECHNOLOGIES,United States of America,US,USA
110,ADTM,US,Adaptive Medias Inc,Common Stock,USA,USD,US00652J2087,0.0001,2022-08-02,ADTM,ADAPTIVE MEDIAS INC,United States of America,US,USA
111,2685,TSE,Adastria Holdings Co Ltd,Common Stock,Japan,JPY,JP3856000009,1962,2022-08-04,2685,ADASTRIA CO LTD,Japan,JP,Japan
112,ADCO,TO,Adcore Inc,Common Stock,Canada,CAD,CA00654B1040,0.315,2022-08-03,ADCO,ADCORE INC,Canada,CA,Canada
113,ADKO,VI,Addiko Bank AG,Common Stock,Austria,EUR,AT000ADDIKO0,10.25,2022-08-03,ADKO,ADDIKO BANK AG,Austria,AT,Austria
