new_index,figi,name,ticker,exchCode,compositeFIGI,securityType,marketSector,shareClassFIGI,securityType2,securityDescription,uniqueID,uniqueIDFutOpt
44,BBG00GX1MT89,ABERFORTH SPLIT LEVEL INCOME,ASIZ,LN,BBG00GX1MT70,Closed-End Fund,Equity,BBG00GX1MTC4,Mutual Fund,ASIZ,,
45,BBG00B3TP3R5,ABILITY INC,ABILF,US,BBG00B3TP3R5,Common Stock,Equity,BBG00B3TP3P7,Common Stock,ABILF,,
46,BBG000C101X4,ABIOMED INC,ABMD,US,BBG000C101X4,Common Stock,Equity,BBG001S64SQ9,Common Stock,ABMD,,
47,BBG00DBKMVY4,ABITIBI ROYALTIES INC,RZZEUR,XS,BBG00DBKMVG4,Common Stock,Equity,BBG001T8RJD3,Common Stock,RZZEUR,,
48,BBG000C4DB08,ABLE ENERGY INC,ABLE,US,BBG000C4DB08,Common Stock,Equity,BBG001S5NF60,Common Stock,ABLE,,
49,BBG00CW19LH1,ABLE ENGINEERING HOLDINGS LT,1627,HK,BBG00CW19LF3,Common Stock,Equity,BBG00CW19LG2,Common Stock,1627,,
50,BBG000B9YYH7,ABM INDUSTRIES INC,ABM,US,BBG000B9YYH7,Common Stock,Equity,BBG001S5N9B8,Common Stock,ABM,,
51,BBG00BDTXC59,ABN AMRO BANK NV-CVA,ABN,NA,BBG00BDTXC40,Dutch Cert,Equity,BBG00BDTXC86,Depositary Receipt,ABN,,
52,BBG000QGC2Y0,ABO GROUP ENVIRONMENT,ABO1EUR,EO,BBG000QGC2Y0,Common Stock,Equity,BBG001SS4XX2,Common Stock,ABO1EUR,,
53,BBG00329FNN9,ABOITIZ EQUITY VENTURES-ADR,ABTZY,US,BBG00329FNN9,ADR,Equity,BBG00329FPD5,Depositary Receipt,ABTZY,,
54,BBG000BG8JQ3,ABR HOLDINGS LTD,ABR,SP,BBG000BG8HX9,Common Stock,Equity,BBG001S6XZ72,Common Stock,ABR,,
55,BBG000GFD1B9,ABRAXAS PETROLEUM CORP,AXOA,GR,BBG000GFD1B9,Common Stock,Equity,BBG001SD2QH0,Common Stock,AXOA,,
56,BBG000BF9DG8,ABSA GROUP LTD,ABG,SJ,BBG000BF9C25,Common Stock,Equity,BBG001S7JF34,Common Stock,ABG,,
57,,,,,,,,,,,,
58,BBG000CP0JG1,ABTERRA LTD,ABT,SP,BBG000CNZGN6,Common Stock,Equity,BBG001SFB0W5,Common Stock,ABT,,
59,BBG000DLM5R3,ABUNDANCE INTERNATIONAL LTD,ADI,SP,BBG000DLM5C9,Common Stock,Equity,BBG001SDNXN5,Common Stock,ADI,,
60,,,,,,,,,,,,
61,BBG00D0RHJ38,AC IMMUNE SA,ACIU,US,BBG00D0RHJ38,Common Stock,Equity,BBG00D0RHJ65,Common Stock,ACIU,,
62,BBG00JNJY2P2,ACACIA COMMUNICATIONS INC,ACIAEUR,XB,BBG00JNJY2N4,Common Stock,Equity,BBG00359HX89,Common Stock,ACIAEUR,,
63,BBG000BSH3J0,ACACIA DIVERSIFIED HOLDINGS,ACCA,US,BBG000BSH3J0,Common Stock,Equity,BBG001S6ZLZ0,Common Stock,ACCA,,
64,BBG000R05LN2,ACACIA MINING PLC,ACA1GBX,XS,BBG000R05FC7,Common Stock,Equity,BBG001SJ8TN8,Common Stock,ACA1GBX,,
65,BBG00K62GGD7,ACACIA PHARMA GROUP PLC,ACPHEUR,XB,BBG00K62GGC8,Common Stock,Equity,BBG00B07GR93,Common Stock,ACPHEUR,,
