new_index,figi,name,ticker,exchCode,compositeFIGI,securityType,marketSector,shareClassFIGI,securityType2,securityDescription,uniqueID,uniqueIDFutOpt
2890,BBG000BKT8B1,CB FINANCIAL SERVICES INC,CBFV,US,BBG000BKT8B1,Common Stock,Equity,BBG001S825Y8,Common Stock,CBFV,,
2891,BBG000BL7LM2,CB GROUP MANAGEMENT CO LTD,9852,JP,BBG000BL7LM2,Common Stock,Equity,BBG001S6JJ74,Common Stock,9852,,
2892,BBG000BVJ980,CB SCIENTIFIC INC,CBSC,US,BBG000BVJ980,Common Stock,Equity,BBG001S9YKD1,Common Stock,CBSC,,
2893,BBG000DZX6K5,CBAK ENERGY TECHNOLOGY INC,CBAT,US,BBG000DZX6K5,Common Stock,Equity,BBG001SKK0H1,Common Stock,CBAT,,
2894,BBG000FQD1Z0,CBIZ INC,CBZ,US,BBG000FQD1Z0,Common Stock,Equity,BBG001S8MB55,Common Stock,CBZ,,
2895,,,,,,,,,,,,
2896,BBG000H7W1D3,CBLT INC,CBLT,CN,BBG000H7W1D3,Common Stock,Equity,BBG001T36618,Common Stock,CBLT,,
2897,BBG000QH56C1,CBOE GLOBAL MARKETS INC,CBOE,US,BBG000QH56C1,Common Stock,Equity,BBG001T71BP7,Common Stock,CBOE,,
2898,BBG00HZ69KP9,CBTX INC,CBTX,US,BBG00HZ69KP9,Common Stock,Equity,BBG00HZ69LD0,Common Stock,CBTX,,
2899,BBG000BF5C47,CCA INDUSTRIES INC,CAWW,US,BBG000BF5C47,Common Stock,Equity,BBG001S5PKD9,Common Stock,CAWW,,
2900,BBG000FL7N17,CCL INDUSTRIES INC - CL B,CCL/B,CN,BBG000FL7N17,Common Stock,Equity,BBG001SBFGZ2,Common Stock,CCL/B,,
2901,BBG000BY2FL3,CCUR HOLDINGS INC,CCUR,US,BBG000BY2FL3,Common Stock,Equity,BBG001S5YB21,Common Stock,CCUR,,
2902,BBG000BLRC95,CD INTERNATIONAL ENTERPRISES,CDIIQ,US,BBG000BLRC95,Common Stock,Equity,BBG001S6LQ93,Common Stock,CDIIQ,,
2903,BBG000D03WZ2,CD PROJEKT SA,CDR,PW,BBG000D03WH2,Common Stock,Equity,BBG001SFXTV9,Common Stock,CDR,,
2904,,,,,,,,,,,,
2905,BBG0079100N6,CDK GLOBAL INC,CDKEUR,XS,BBG007910056,Common Stock,Equity,BBG006B6PVP7,Common Stock,CDKEUR,,
2906,BBG000P4DH10,CDL HOSPITALITY TRUSTS,CDHSF,US,BBG000P4DH10,Stapled Security,Equity,BBG001SQWTN5,Unit,CDHSF,,
2907,BBG000L6P2D6,CDS CO LTD,2169,JP,BBG000L6P2D6,Common Stock,Equity,BBG001SPZ529,Common Stock,2169,,
2908,BBG000G1JQ83,CDTI ADVANCED MATERIALS INC,CDTI,US,BBG000G1JQ83,Common Stock,Equity,BBG001S70910,Common Stock,CDTI,,
2909,BBG000C0XMW5,CDW HOLDING LTD,CDW,SP,BBG000C0XMJ0,Common Stock,Equity,BBG001SDFHL1,Common Stock,CDW,,
2910,BBG000DB9F25,CE HOLDINGS CO LTD,4320,JP,BBG000DB9F25,Common Stock,Equity,BBG001SG82C5,Common Stock,4320,,
2911,BBG000BXSSQ4,CEAPRO INC,CZO,CN,BBG000BXSSQ4,Common Stock,Equity,BBG001S9H4C7,Common Stock,CZO,,
2912,BBG000CPSFJ6,CEAT LTD,CEAT,IN,BBG000CPSFJ6,Common Stock,Equity,BBG001S831P6,Common Stock,CEAT,,
2913,,,,,,,,,,,,
2914,BBG004KB42Q7,CEBU AIR INC-UNSPONSORED ADR,CEBUY,US,BBG004KB42Q7,ADR,Equity,BBG004KB43G6,Depositary Receipt,CEBUY,,
2915,,,,,,,,,,,,
2916,BBG000P662V3,CECEP SOLAR ENERGY CO LT-A,000591,CH,BBG000P662V3,Common Stock,Equity,BBG001SJW9Y3,Common Stock,000591,,
2917,,,,,,,,,,,,
2918,BBG000BFG2J1,CECO ENVIRONMENTAL CORP,CECE,US,BBG000BFG2J1,Common Stock,Equity,BBG001S6PJV0,Common Stock,CECE,,
2919,BBG000BG92R8,CEDAR CO LTD,2435,JP,BBG000BG92R8,Common Stock,Equity,BBG001S7R3F9,Common Stock,2435,,
2920,BBG000BFBH12,CEDAR REALTY TRUST INC,CDR,US,BBG000BFBH12,REIT,Equity,BBG001S5PMW4,REIT,CDR,,
2921,BBG000DDCL79,CEDAR WOODS PROPERTIES LTD,CWP,AU,BBG000DDCL79,Common Stock,Equity,BBG001S87993,Common Stock,CWP,,
2922,,,,,,,,,,,,
2923,BBG000BK1G87,CEGEDIM SA,CGM,FP,BBG000BK1FW2,Common Stock,Equity,BBG001S6HWS4,Common Stock,CGM,,
2924,,,,,,,,,,,,
2925,BBG000JYP7L8,CELANESE CORP,CE,US,BBG000JYP7L8,Common Stock,Equity,BBG001SJDDG5,Common Stock,CE,,
2926,BBG00HKBW045,CELCUITY INC,CELC,US,BBG00HKBW045,Common Stock,Equity,BBG00HKBW054,Common Stock,CELC,,
2927,BBG000GW8T54,CELEBRITY FASHIONS LTD,CFLI,IN,BBG000GW8T54,Common Stock,Equity,BBG001SP1J35,Common Stock,CFLI,,
2928,BBG000BK8Z60,CELESTIAL ASIA SECURITIES,1049,HK,BBG000BK8YY2,Common Stock,Equity,BBG001S7XDV2,Common Stock,1049,,
2929,BBG000M3FBT6,CELESTIAL BIOLABS LTD,CBIO,IN,BBG000M3FBT6,Common Stock,Equity,BBG001SQ7GV2,Common Stock,CBIO,,
2930,BBG000BPS2C3,CELESTICA INC,CLS,US,BBG000BPS2C3,Common Stock,Equity,BBG001S9CXM7,Common Stock,CLS,,
2931,BBG000PYWG24,CELEXUS INC,CXUS,US,BBG000PYWG24,Common Stock,Equity,BBG001SPKZC8,Common Stock,CXUS,,
2932,BBG00475SG42,CELL MEDX CORP,CMXC,US,BBG00475SG42,Common Stock,Equity,BBG00475SGW1,Common Stock,CMXC,,
2933,BBG0046WCSY2,CELL SOURCE INC,CLCS,US,BBG0046WCSY2,Common Stock,Equity,BBG0046WCTP0,Common Stock,CLCS,,
2934,BBG000K7PB63,CELLCOM ISRAEL LTD,CELJF,US,BBG000K7PB63,Common Stock,Equity,BBG001SSP7N7,Common Stock,CELJF,,
2935,BBG000D8VHN0,CELLDEX THERAPEUTICS INC,TCE2,GR,BBG000D8VHN0,Common Stock,Equity,BBG001S7QN20,Common Stock,TCE2,,
2936,BBG000G9WFQ5,CELLECTAR BIOSCIENCES INC,CLRB,US,BBG000G9WFQ5,Common Stock,Equity,BBG001SNWCK2,Common Stock,CLRB,,
2937,BBG000BFWPS2,CELLECTIS,ZVA,GR,BBG000BFWPS2,Common Stock,Equity,BBG001S9FQ03,Common Stock,ZVA,,
2938,BBG000DFN3D5,CELLNET GROUP LTD,CLT,AU,BBG000DFN3D5,Common Stock,Equity,BBG001SDCBN5,Common Stock,CLT,,
2939,BBG008G74Z89,CELLNEX TELECOM SA,CLNX,SM,BBG008G74Z89,Common Stock,Equity,BBG008G74ZH9,Common Stock,CLNX,,
2940,BBG000QB3PK5,CELLSEED INC,7776,JP,BBG000QB3PK5,Common Stock,Equity,BBG001T6S074,Common Stock,7776,,
2941,BBG008HBGWF5,CELLULAR BIOMEDICINE GROUP I,CBMGEUR,XS,BBG008HBGVY6,Common Stock,Equity,BBG001SQVHF1,Common Stock,CBMGEUR,,
2942,,,,,,,,,,,,
2943,BBG000BJJGT8,CELSION CORP,CLSN,US,BBG000BJJGT8,Common Stock,Equity,BBG001S6FLZ2,Common Stock,CLSN,,
2944,BBG000NY37X4,CELSIUS HOLDINGS INC,CELH,US,BBG000NY37X4,Common Stock,Equity,BBG001SQSKT3,Common Stock,CELH,,
2945,BBG000BWRDF2,CELSIUS RESOURCES LTD,CLA,AU,BBG000BWRDF2,Common Stock,Equity,BBG001SGD140,Common Stock,CLA,,
2946,,,,,,,,,,,,
2947,BBG0015QF8P3,CEMBRA MONEY BANK AG,CMBN,SW,BBG0015QF8P3,Common Stock,Equity,BBG001TC3238,Common Stock,CMBN,,
2948,BBG000BVVFW5,CEMBRE SPA,CMB,IM,BBG000BVVFG3,Common Stock,Equity,BBG001S9ZJY0,Common Stock,CMB,,
2949,BBG000BNPJD3,CEMEDINE CO LTD,4999,JP,BBG000BNPJD3,Common Stock,Equity,BBG001S6GGW5,Common Stock,4999,,
2950,BBG000BGF736,CEMEX SAB-A,CEMEXA,MM,BBG000BGF736,Common Stock,Equity,BBG001S74WZ8,Common Stock,CEMEXA,,
2951,BBG000GC6D82,CEMTREX INC,CETX,US,BBG000GC6D82,Common Stock,Equity,BBG001SJX829,Common Stock,CETX,,
2952,BBG00FFJZQ20,CENERGY HOLDINGS SA,CENER,BB,BBG00FFJZQ11,Common Stock,Equity,BBG00FFJZQ48,Common Stock,CENER,,
2953,BBG000CZVQ06,CENKOS SECURITIES PLC,CNKS,LN,BBG000CZVPT7,Common Stock,Equity,BBG001SM9GP6,Common Stock,CNKS,,
2954,BBG000FT86F1,CENOVUS ENERGY INC,CVE,CN,BBG000FT86F1,Common Stock,Equity,BBG001T2PJV8,Common Stock,CVE,,
2955,BBG000CHBFL9,CENTAMIN PLC,7CT,GR,BBG000CHBFL9,Common Stock,Equity,BBG001S6JR58,Common Stock,7CT,,
2956,BBG000BLYDQ6,CENTAUR MEDIA PLC,CAU,LN,BBG000BLYCW1,Common Stock,Equity,BBG001S9B5T2,Common Stock,CAU,,
2957,BBG000BQ5SK0,CENTAURUS METALS LTD,CTM,AU,BBG000BQ5SK0,Common Stock,Equity,BBG001S6H549,Common Stock,CTM,,
2958,BBG000BDXCJ5,CENTENE CORP,CNC,US,BBG000BDXCJ5,Common Stock,Equity,BBG001S6T7Q8,Common Stock,CNC,,
2959,BBG00CNYBQ76,CENTENNIAL RESOURCE DEVELO-A,CDEV,US,BBG00CNYBQ76,Common Stock,Equity,BBG00D61Y2G3,Common Stock,CDEV,,
2960,BBG006R0D528,CENTER INTERNATIONAL GROUP-A,603098,CH,BBG006R0D528,Common Stock,Equity,BBG006R0D537,Common Stock,603098,,
2961,BBG000FDBX90,CENTERPOINT ENERGY INC,CNP,US,BBG000FDBX90,Common Stock,Equity,BBG001SB10S0,Common Stock,CNP,,
2962,BBG000PWGV23,CENTERRA GOLD INC,CG,CN,BBG000PWGV23,Common Stock,Equity,BBG001SLVFY5,Common Stock,CG,,
2963,BBG00JRQT5R9,CENTERSTATE BANK CORP,CSFLUSD,XB,BBG00JRQT5Q0,Common Stock,Equity,BBG001S6KGT4,Common Stock,CSFLUSD,,
2964,BBG002054BZ6,CENTOR ENERGY INC,CNTO,US,BBG002054BZ6,Common Stock,Equity,BBG002054CR3,Common Stock,CNTO,,
2965,BBG0015YLBD5,CENTRAL ASIA METALS PLC,CAML,LN,BBG0015YLBC6,Common Stock,Equity,BBG001SP62Q2,Common Stock,CAML,,
2966,BBG000G6Q4C8,CENTRAL BANCOMPANY-CL B NVTG,CBCYB,US,BBG000G6Q4C8,Common Stock,Equity,BBG001SJJ8T6,Common Stock,CBCYB,,
2967,BBG000FTQPW0,CENTRAL BANK OF INDIA,CBOI,IN,BBG000FTQPW0,Common Stock,Equity,BBG001S8N575,Common Stock,CBOI,,
2968,BBG006MJKCL8,CENTRAL CHINA SECURITIES C-H,1375,HK,BBG006MJKCK9,Common Stock,Equity,BBG006MJKCM7,Common Stock,1375,,
2969,BBG000R5K032,CENTRAL DEPOSITORY SERVICES,CDSL,IN,BBG000R5K032,Common Stock,Equity,BBG001T961K5,Common Stock,CDSL,,
2970,BBG000Q9M2R3,CENTRAL ENERGY PARTNERS LP,ENGY,US,BBG000Q9M2R3,MLP,Equity,BBG001SMGWC7,Partnership Shares,ENGY,,
2971,BBG000QT75M4,CENTRAL EUROPEAN MEDIA ENT-A,CETV,XS,BBG000QT70C6,Common Stock,Equity,BBG001SG8ZX9,Common Stock,CETV,,
2972,,,,,,,,,,,,
2973,BBG000M1R4W9,CENTRAL FLORIDA STATE BANK,CEFB,US,BBG000M1R4W9,Common Stock,Equity,BBG001SK7PG2,Common Stock,CEFB,,
2974,BBG000BK6CB7,CENTRAL GLASS CO LTD,4044,JP,BBG000BK6CB7,Common Stock,Equity,BBG001S6CJL5,Common Stock,4044,,
2975,BBG000Q77QC7,CENTRAL IRON ORE LTD,CIO,CN,BBG000Q77QC7,Common Stock,Equity,BBG001SP2C20,Common Stock,CIO,,
2976,BBG000JD6QG9,CENTRAL JAPAN RAILWAY CO,9022,JP,BBG000JD6QG9,Common Stock,Equity,BBG001SB2G40,Common Stock,9022,,
2977,BBG000BG4LG3,CENTRAL PACIFIC FINANCIAL CO,CPF,US,BBG000BG4LG3,Common Stock,Equity,BBG001S5Q2C9,Common Stock,CPF,,
2978,BBG000C03JM6,CENTRAL PETROLEUM LTD,CTP,AU,BBG000C03JM6,Common Stock,Equity,BBG001SK9FP2,Common Stock,CTP,,
2979,,,,,,,,,,,,
2980,BBG000B9Y7P7,CENTRAL SECURITIES CORP,CET,US,BBG000B9Y7P7,Closed-End Fund,Equity,BBG001S5PP20,Mutual Fund,CET,,
2981,BBG000BQ2QG2,CENTRAL SECURITY PATROLS CO,9740,JP,BBG000BQ2QG2,Common Stock,Equity,BBG001S6GZV4,Common Stock,9740,,
2982,,,,,,,,,,,,
2983,BBG000MZYM65,CENTRAL VALLEY COMM BANCORP,CVCY,US,BBG000MZYM65,Common Stock,Equity,BBG001SGH967,Common Stock,CVCY,,
2984,BBG000LBJJH1,CENTRAL WIRELESS INC,CWIR,US,BBG000LBJJH1,Common Stock,Equity,BBG001SDJ3S1,Common Stock,CWIR,,
2985,BBG00539JML3,CENTRALNIC GROUP PLC,CNIC,LN,BBG00539J8Z9,Common Stock,Equity,BBG00539J8Y0,Common Stock,CNIC,,
2986,BBG000N3S7K9,CENTREPOINT ALLIANCE LTD,CAF,AU,BBG000N3S7K9,Common Stock,Equity,BBG001SKMGQ4,Common Stock,CAF,,
2987,BBG000QJPPX0,CENTRIC FINANCIAL CORP,CFCX,US,BBG000QJPPX0,Common Stock,Equity,BBG001SN0B92,Common Stock,CFCX,,
2988,BBG000BPFPZ1,CENTRICA PLC,CNA,LN,BBG000BPFPK7,Common Stock,Equity,BBG001S9L2S9,Common Stock,CNA,,
2989,BBG000R4P3J7,CENTROTHERM INTERNATIONAL AG,CTNK,GR,BBG000R4P3J7,Common Stock,Equity,BBG001ST3TZ8,Common Stock,CTNK,,
2990,BBG000CTQ254,CENTRUM CAPITAL LTD,CECA,IN,BBG000CTQ254,Common Stock,Equity,BBG001S83RJ6,Common Stock,CECA,,
2991,BBG000BQ2JM1,CENTRUS ENERGY CORP-CLASS A,LEU,US,BBG000BQ2JM1,Common Stock,Equity,BBG001S9F7B3,Common Stock,LEU,,
2992,BBG000BTBCB2,CENTUM ELECTRONICS LTD,CTE,IN,BBG000BTBCB2,Common Stock,Equity,BBG001S71RD6,Common Stock,CTE,,
2993,BBG00DZQQRX1,CENTURIA CAPITAL GROUP,CNI,AU,BBG00DZQQRX1,Stapled Security,Equity,BBG00DZQQRY0,Unit,CNI,,
2994,BBG000BMJMD5,CENTURION CORP LTD,CENT,SP,BBG000BMJM54,Common Stock,Equity,BBG001S6NRM4,Common Stock,CENT,,
2995,BBG000LDSMV4,CENTURION MINERALS LTD,CTN,CN,BBG000LDSMV4,Common Stock,Equity,BBG001SQ0RS9,Common Stock,CTN,,
2996,BBG000BW1LS8,CENTURY ALUMINUM COMPANY,CENX,US,BBG000BW1LS8,Common Stock,Equity,BBG001S766G4,Common Stock,CENX,,
2997,BBG000BF74N2,CENTURY CASINOS INC,CNT,GR,BBG000BF74N2,Common Stock,Equity,BBG001S6MDN5,Common Stock,CNT,,
2998,BBG006G412Q6,CENTURY COMMUNITIES INC,CCS,US,BBG006G412Q6,Common Stock,Equity,BBG006G413H4,Common Stock,CCS,,
2999,BBG000CPTTX9,CENTURY ENKA LTD,CENK,IN,BBG000CPTTX9,Common Stock,Equity,BBG001S831X7,Common Stock,CENK,,
3000,BBG000BHSLM8,CENTURY EXTRUSIONS LTD,CEXT,IN,BBG000BHSLM8,Common Stock,Equity,BBG001S831Y6,Common Stock,CEXT,,
3001,BBG000C2Y8P9,CENTURY FINANCIAL CORP,CYFL,US,BBG000C2Y8P9,Common Stock,Equity,BBG001SBVY30,Common Stock,CYFL,,
3002,BBG000THXV96,CENTURY GLOBAL COMMODITIES C,CNT,CN,BBG000THXV96,Common Stock,Equity,BBG001T06GG6,Common Stock,CNT,,
3003,BBG0016Z24T1,CENTURY NEXT FINANCIAL CORP,CTUY,US,BBG0016Z24T1,Common Stock,Equity,BBG001TCNDS5,Common Stock,CTUY,,
3004,BBG000BPS1Z0,CENTURY PETROLEUM CORP,CYPE,US,BBG000BPS1Z0,Common Stock,Equity,BBG001SFZQJ7,Common Stock,CYPE,,
3005,BBG000QD5JK3,CENTURY PLYBOARDS INDIA LTD,CPBI,IN,BBG000QD5JK3,Common Stock,Equity,BBG001SMN887,Common Stock,CPBI,,
3006,BBG000CPTX42,CENTURY TEXTILES & INDS LTD,CENT,IN,BBG000CPTX42,Common Stock,Equity,BBG001S831Z5,Common Stock,CENT,,
3007,BBG000C3WJJ2,CEOTRONICS AG,CEK,GR,BBG000C3WJJ2,Common Stock,Equity,BBG001SBXMS7,Common Stock,CEK,,
3008,,,,,,,,,,,,
3009,BBG00CTTCGR0,CEQUENCE ENERGY LTD,CQEEUR,XS,BBG00CTTCG81,Common Stock,Equity,BBG001SSV616,Common Stock,CQEEUR,,
3010,BBG000DFCTR5,CERA SANITARYWARE LTD,CRS,IN,BBG000DFCTR5,Common Stock,Equity,BBG001SGB8P4,Common Stock,CRS,,
3011,BBG000DFCTR5,CERA SANITARYWARE LTD,CRS,IN,BBG000DFCTR5,Common Stock,Equity,BBG001SGB8P4,Common Stock,CRS,,
3012,BBG000CYGJT1,CERAGON NETWORKS LTD,GGN,GR,BBG000CYGJT1,Common Stock,Equity,BBG001SFSXD6,Common Stock,GGN,,
3013,BBG006651970,CERAMIC FUEL CELLS LTD,CFUGBX,XS,BBG0066518R0,Common Stock,Equity,BBG001SLWTM7,Common Stock,CFUGBX,,
3014,BBG002405LJ8,CEREBAIN BIOTECH CORP,CBBT,PQ,BBG002405L35,Common Stock,Equity,BBG002405LV4,Common Stock,CBBT,,
3015,BBG000CGJMZ3,CERES GLOBAL AG CORP,CRP,CN,BBG000CGJMZ3,Common Stock,Equity,BBG001SLXYK7,Common Stock,CRP,,
3016,BBG0074CNBF7,CERES INC/JAPAN,3696,JP,BBG0074CNBF7,Common Stock,Equity,BBG0074CNBG6,Common Stock,3696,,
3017,BBG000BYZMV1,CERES POWER HOLDINGS PLC,CWR,LN,BBG000BYZM87,Common Stock,Equity,BBG001SD4WL0,Common Stock,CWR,,
3018,BBG005D7PF34,CERIDIAN HCM HOLDING INC,CDAY,US,BBG005D7PF34,Common Stock,Equity,BBG005D7PF43,Common Stock,CDAY,,
3019,BBG00CGCHDG5,CERILLION PLC,CER,LN,BBG00CGCHC31,Common Stock,Equity,BBG00CGCHC40,Common Stock,CER,,
3020,BBG007F5VYT6,CERNER CORP,CERNCHF,XS,BBG007F5VYB5,Common Stock,Equity,BBG001S5PNR8,Common Stock,CERNCHF,,
3021,BBG000CG2XN0,CERRO GRANDE MINING CORP,CEG,CN,BBG000CG2XN0,Common Stock,Equity,BBG001S811D1,Common Stock,CEG,,
3022,,,,,,,,,,,,
3023,BBG000HBVZX8,CERUS CORP,CERS,US,BBG000HBVZX8,Common Stock,Equity,BBG001S97DG4,Common Stock,CERS,,
3024,,,,,,,,,,,,
3025,BBG000FRRNC0,CES ENERGY SOLUTIONS CORP,CEU,CN,BBG000FRRNC0,Common Stock,Equity,BBG001SNPWX2,Common Stock,CEU,,
3026,BBG000JSX1N3,CESAR SA - REGR,ALCES,FP,BBG000JSX153,Common Stock,Equity,BBG001SRPN36,Common Stock,ALCES,,
3027,BBG000BH0VJ0,CEVASA-CIA ESPANOL DE VIV-,CEV,SM,BBG000BH0VJ0,Common Stock,Equity,BBG001S723G5,Common Stock,CEV,,
3028,BBG000BDRB13,CEWE STIFTUNG & CO KGAA,CWC,GR,BBG000BDRB13,Common Stock,Equity,BBG001S786F3,Common Stock,CWC,,
3029,BBG000CFNQH1,CEYLON GRAPHITE CORP,CYL,CN,BBG000CFNQH1,Common Stock,Equity,BBG001SGLJ88,Common Stock,CYL,,
3030,BBG000V9Z220,CF ENERGY CORP,CFY,CN,BBG000V9Z220,Common Stock,Equity,BBG001T1Y425,Common Stock,CFY,,
3031,BBG000BWJFZ4,CF INDUSTRIES HOLDINGS INC,CF,US,BBG000BWJFZ4,Common Stock,Equity,BBG001SJ8KV8,Common Stock,CF,,
3032,BBG00D6QY7P7,CFOAM LTD,CFO,AU,BBG00D6QY7P7,Common Stock,Equity,BBG00D6QY7Q6,Common Stock,CFO,,
3033,BBG000D1MBH5,CGE ENERGY INC,CGEI,US,BBG000D1MBH5,Common Stock,Equity,BBG001SG0M48,Common Stock,CGEI,,
3034,BBG000BYYC35,CGI INC,GIB/A,CN,BBG000BYYC35,Common Stock,Equity,BBG001S5YY67,Common Stock,GIB/A,,
3035,BBG0077HTN07,CGN NEW ENERGY HOLDINGS CO L,1811,HK,BBG0077HTMZ1,Common Stock,Equity,BBG0077HTN25,Common Stock,1811,,
3036,BBG000GBKDZ8,CGN NUCLEAR TECHNOLOGY DEV-A,000881,CH,BBG000GBKDZ8,Common Stock,Equity,BBG001SJW9D6,Common Stock,000881,,
3037,BBG000F39818,CGROWTH CAPITAL INC,CGRA,US,BBG000F39818,Common Stock,Equity,BBG001S8GLR6,Common Stock,CGRA,,
3038,BBG000DVS5L1,CGX ENERGY INC,OYL,CN,BBG000DVS5L1,Common Stock,Equity,BBG001SF8F10,Common Stock,OYL,,
3039,,,,,,,,,,,,
3040,BBG000N0LCX7,CH OFFSHORE LTD,CHO,SP,BBG000N0LCK1,Common Stock,Equity,BBG001SBTWN5,Common Stock,CHO,,
3041,BBG000BXJT55,CHAARAT GOLD HOLDINGS LTD,9IS,GR,BBG000BXJT55,Common Stock,Equity,BBG001SJKVS4,Common Stock,9IS,,
3042,BBG0038599F8,CHAKANA COPPER CORP,PERU,CN,BBG0038599F8,Common Stock,Equity,BBG003859B27,Common Stock,PERU,,
3043,BBG000BMT2G5,CHALLENGER TECHNOLOGIES LTD,CHLG,SP,BBG000BMT284,Common Stock,Equity,BBG001SBH5W7,Common Stock,CHLG,,
3044,,,,,,,,,,,,
3045,BBG000BCSR73,CHAM GROUP AG,CHAM,SW,BBG000BCSR73,Common Stock,Equity,BBG001S6HQK5,Common Stock,CHAM,,
3046,BBG000BNW518,CHAMBERLIN PLC,CMH,LN,BBG000BNW484,Common Stock,Equity,BBG001S6T3S5,Common Stock,CMH,,
3047,BBG000BXXFZ6,CHAMPION BEAR RESOURCES LTD,CBA,CN,BBG000BXXFZ6,Common Stock,Equity,BBG001S5Y4Y2,Common Stock,CBA,,
3048,BBG000BGB7Y6,CHAMPION INDUSTRIES INC/WV,CHMP,US,BBG000BGB7Y6,Common Stock,Equity,BBG001S72R27,Common Stock,CHMP,,
3049,BBG000BRKN59,CHAMPION INVESTMENTS INC,CHAM,US,BBG000BRKN59,Common Stock,Equity,BBG001S6YC27,Common Stock,CHAM,,
3050,BBG000Q7SFK9,CHAMPION IRON LTD,MMPI,GR,BBG000Q7SFK9,Common Stock,Equity,BBG001SRWGK4,Common Stock,MMPI,,
3051,BBG000BYGPJ9,CHAMPIONS ONCOLOGY INC,CSBR,US,BBG000BYGPJ9,Common Stock,Equity,BBG001S5YHT9,Common Stock,CSBR,,
3052,BBG000GM4XG9,CHANCELLOR GROUP INC,CHAG,US,BBG000GM4XG9,Common Stock,Equity,BBG001S8X477,Common Stock,CHAG,,
3053,BBG000CGSZB0,CHANGCHUN GAS CO LTD -A,600333,CH,BBG000CGSZB0,Common Stock,Equity,BBG001SFCL85,Common Stock,600333,,
3054,BBG000P65Q87,CHANGCHUN HIGH & NEW TECH-A,000661,CH,BBG000P65Q87,Common Stock,Equity,BBG001SJW8Z4,Common Stock,000661,,
3055,,,,,,,,,,,,
3056,BBG000C78H13,CHANGHONG JIAHUA HOLDINGS LT,3991,HK,BBG000C78GK4,Common Stock,Equity,BBG001SDRL75,Common Stock,3991,,
3057,BBG000D426F4,CHANGJIANG SECURITIES CO L-A,000783,CH,BBG000D426F4,Common Stock,Equity,BBG001SJWP31,Common Stock,000783,,
3058,BBG00D8MZ7R1,CHANHIGH HOLDINGS LTD,2017,HK,BBG00D8MZ7Q2,Common Stock,Equity,BBG00D8MZ7P3,Common Stock,2017,,
3059,BBG000QM5H72,CHANNELADVISOR CORP,ECOM,US,BBG000QM5H72,Common Stock,Equity,BBG001SN5F07,Common Stock,ECOM,,
3060,,,,,,,,,,,,
3061,,,,,,,,,,,,
3062,BBG000R1KBN5,CHAOWEI POWER HOLDINGS LTD,951,HK,BBG000R1KB82,Common Stock,Equity,BBG001T8ZTN1,Common Stock,951,,
3063,BBG002JMVRJ2,CHAPMANS LIMITED,CHPLF,PQ,BBG000PPZP57,Common Stock,Equity,BBG001S6N1Q7,Common Stock,CHPLF,,
3064,BBG005KY0FN2,CHAR TECHNOLOGIES LTD,YES,CN,BBG005KY0FN2,Common Stock,Equity,BBG005KY0FP0,Common Stock,YES,,
3065,BBG000BFJMY7,CHARACTER GROUP PLC,CCT,LN,BBG000BFJMK2,Common Stock,Equity,BBG001S61HW9,Common Stock,CCT,,
3066,BBG00KY7TFV3,CHARAH SOLUTIONS INC,CHRA,US,BBG00KY7TFV3,Common Stock,Equity,BBG00KY7TGL2,Common Stock,CHRA,,
3067,BBG000C0P8F4,CHARISMA ENERGY SERVICES LTD,CHEN,SP,BBG000C0P819,Common Stock,Equity,BBG001SBPC35,Common Stock,CHEN,,
3068,BBG000BG5BL8,CHARLES RIVER LABORATORIES,CRL,US,BBG000BG5BL8,Common Stock,Equity,BBG001S7Q271,Common Stock,CRL,,
3069,BBG000DQJQL6,CHARLIE'S HOLDINGS INC,CHUC,US,BBG000DQJQL6,Common Stock,Equity,BBG001SJZ6V9,Common Stock,CHUC,,
3070,,,,,,,,,,,,
3071,BBG00L95QCP0,CHARLOTTES WEB HOLDINGS INC,CWEB,CN,BBG00L95QCP0,Common Stock,Equity,BBG00L95QCQ9,Common Stock,CWEB,,
3072,BBG00BL4M0D4,CHARMACY PHARMACEUTICAL CO-H,2289,HK,BBG00BL4M071,Common Stock,Equity,BBG00BL4M062,Common Stock,2289,,
3073,BBG000VPGNR2,CHARTER COMMUNICATIONS INC-A,CHTR,US,BBG000VPGNR2,Common Stock,Equity,BBG001T3TDG2,Common Stock,CHTR,,
3074,BBG00HVM6TF3,CHARTER COURT FINANCIAL S,CCFSGBX,XB,BBG00HVM6TD5,Common Stock,Equity,BBG00BN4QPQ9,Common Stock,CCFSGBX,,
3075,BBG000FJ5657,CHARTER HALL GROUP,CHC,AU,BBG000FJ5657,REIT,Equity,BBG001SNL4S4,REIT,CHC,,
3076,BBG000QQ7130,CHARTER OAK BANK,CHOB,US,BBG000QQ7130,Common Stock,Equity,BBG001SNF1V3,Common Stock,CHOB,,
3077,,,,,,,,,,,,
3078,BBG000TF9SZ5,CHASE MINING CORPORATION LTD,CML,AU,BBG000TF9SZ5,Common Stock,Equity,BBG001T00VL3,Common Stock,CML,,
3079,BBG000C0CQB2,CHASEN HOLDINGS LTD,CHLD,SP,BBG000C0CPZ8,Common Stock,Equity,BBG001SFNKJ3,Common Stock,CHLD,,
3080,BBG000GN3846,CHASWOOD RESOURCES HOLDINGS,CWR,SP,BBG000GN37J2,Common Stock,Equity,BBG001SFMJS7,Common Stock,CWR,,
