,Code,Exchange,Name,Type,Country,Currency,ISIN,previousClose,previousCloseDate
60,AXAS,US,Abraxas Petroleum Corporation,Common Stock,USA,USD,US0038303048,1.668,2022-07-21
61,ABG,JSE,Absa Group Ltd,Common Stock,South Africa,ZAC,ZAE000255915,16910.0,2022-07-21
62,541,SG,Abundance International Limited,Common Stock,Singapore,SGD,SG1I02877971,0.027,2022-07-21
63,ACIU,US,AC Immune Ltd,Common Stock,USA,USD,CH0329023102,3.22,2022-07-21
64,ACCA,US,Acacia Diversified Holdings Inc,Common Stock,USA,USD,US00389L1044,0.0002,2022-07-21
65,ACTG,US,Acacia Research Corporation,Common Stock,USA,USD,US0038813079,4.81,2022-07-21
66,AKG,AU,Academies Australasia Group,Common Stock,Australia,AUD,AU000000AKG9,0.285,2022-07-21
67,ACHC,US,Acadia Healthcare Company Inc,Common Stock,USA,USD,US00404A1097,75.36,2022-07-21
68,ACAD,US,ACADIA Pharmaceuticals Inc,Common Stock,USA,USD,US0042251084,14.98,2022-07-21
69,AKR,US,Acadia Realty Trust,Common Stock,USA,USD,US0042391096,16.79,2022-07-21
70,ADN,TO,Acadian Timber Corp,Common Stock,Canada,CAD,CA0042721005,16.64,2022-07-21
71,ACAZF,US,Acadian Timber Corp,Common Stock,USA,USD,CA0042721005,13.03,2022-07-21
72,ACST,US,Acasti Pharma Inc,Common Stock,USA,USD,CA00430K8730,0.8793,2022-07-21
73,ACST,V,Acasti Pharma Inc,Common Stock,Canada,CAD,CA00430K8730,1.12,2022-07-20
74,AXE,V,Acceleware Ltd,Common Stock,Canada,CAD,CA00433V1085,0.395,2022-07-21
75,ACWRF,US,Acceleware Ltd,Common Stock,USA,USD,CA00433V1085,0.3221,2022-07-21
76,ACCEL,AS,Accell Group NV,Common Stock,Netherlands,EUR,NL0009767532,57.45,2022-07-21
77,AO1B,XETRA,Accell Group NV,Common Stock,Germany,EUR,NL0009767532,57.55,2022-07-21
78,AO1B,F,Accell Group NV,Common Stock,Germany,EUR,NL0009767532,57.55,2022-07-21
79,ACCELYA,NSE,Accelya Solutions India Limited,Common Stock,India,INR,INE793A01012,937.5,2022-07-21
