new_index,longName,marketName,secIdList,Origin_Name,Origin_Stock,Origin_Country
59,AC IMMUNE SA,NMS,CH0329023102,AC IMMUNE SA,ACIU,United States of America
60,ACACIA COMMUNICATIONS INC,ACIA,US00401C1080,ACACIA COMMUNICATIONS INC,ACIA,United States of America
61,ACACIA DIVERSIFIED HOLDINGS,NOINFO,US00389L1044,ACACIA DIVERSIFIED HOLDINGS,ACCA,United States of America
62,ACACIA MINING PLC,ACA,GB00B61D2N63,ACACIA MINING PLC,ACA,
63,ACACIA PHARMA GROUP PLC,ACPH,GB00BYWF9Y76,ACACIA PHARMA GROUP PLC,ACPH,Belgium
64,ACACIA RESEARCH CORP,NMS,US0038813079,ACACIA RESEARCH CORP,ACTG,United States of America
65,ACADEMIES AUSTRALASIA GROUP,AKG,AU000000AKG9,ACADEMIES AUSTRALASIA GROUP,AKG,Australia
66,ACADIA HEALTHCARE CO INC,NMS,US00404A1097,ACADIA HEALTHCARE CO INC,ACHC,United States of America
67,ACADIA PHARMACEUTICALS INC,NMS,US0042251084,ACADIA PHARMACEUTICALS INC,ACAD,United States of America
68,ACADIA REALTY TRUST,AKR,US0042391096,ACADIA REALTY TRUST,AKR,United States of America
69,ACADIAN TIMBER CORP,ADN,CA0042721005,ACADIAN TIMBER CORP,ADN,Canada
70,ACASTI PHARMA INC,SCM,CA00430K8730,ACASTI PHARMA INC,ACST,United States of America
71,ACCELERA INNOVATIONS INC,NOINFO,US00434W1053,ACCELERA INNOVATIONS INC,ACNV,United States of America
72,ACCELERON PHARMA INC,XLRN,US00434H1086,ACCELERON PHARMA INC,XLRN,United States of America
73,ACCELEWARE LTD,AXE,CA00433V1085,ACCELEWARE LTD,AXE,Canada
74,ACCELL GROUP,ACCEL,NL0009767532,ACCELL GROUP,ACCEL,Netherlands
75,ACCELPATH INC,ACLP,US00433U2096,ACCELPATH INC,ACLP,
